case_id,turn_number,customer_message,detected_language,intent,route,service_code,topic,used_previous_service,retrieved_section_headings,retrieved_document_ids,answer_source,validation_passed,validation_errors,deterministic_fallback_used,openai_call_count,latency_ms,final_response
offline-1,1,What are the rides?,en,service_catalogue,answer_catalogue,,,False,(),[],answer_catalogue,True,[],False,0,15.41,"Raipur mein available experiences:
• Staycation Combo
• Daycation Package
• Pontoon Boat
• Kayak
• Speed Boat
• Aqua Cycle
• Jet Ski
• Water Bike
• Inflatable Sofa Ride
• Bumper Boat
• Kids' Paddle Boat
• Pontoon Celebration
• Floating Gazebo
• Jetty Gazebo
• Houseboat Celebration
• Party Boat Celebration"
offline-2,1,Can you provide other rides?,en,service_catalogue,answer_catalogue,,,False,(),[],answer_catalogue,True,[],False,0,4.59,"Raipur mein available experiences:
• Staycation Combo
• Daycation Package
• Pontoon Boat
• Kayak
• Speed Boat
• Aqua Cycle
• Jet Ski
• Water Bike
• Inflatable Sofa Ride
• Bumper Boat
• Kids' Paddle Boat
• Pontoon Celebration
• Floating Gazebo
• Jetty Gazebo
• Houseboat Celebration
• Party Boat Celebration"
offline-3,1,What is the location of Raipur?,en,location,answer_location,,location,False,(),[],answer_location,True,[],False,0,5.8,The exact information is not confirmed. Please contact the Entartica team for verification.
offline-4,1,Raipur kaha hai?,hinglish,location,answer_location,,location,False,(),[],answer_location,True,[],False,0,3.63,The exact information is not confirmed. Please contact the Entartica team for verification.
offline-5,1,What is the capacity of Speed Boat?,en,service_topic,answer_service_knowledge,speed_boat_ride,capacity,False,"('capacity',)",[],answer_service_knowledge,True,[],False,0,4.08,Speed Boat approved capacity information is available.
offline-6,1,Hat is the capacity of speed baot.,en,service_topic,answer_service_knowledge,speed_boat_ride,capacity,False,"('capacity',)",[],answer_service_knowledge,True,[],False,0,4.36,Speed Boat approved capacity information is available.
offline-7,1,Kayak me kitne log baith sakte hain?,hinglish,service_topic,answer_service_knowledge,kayaking,capacity,False,"('capacity',)",[],answer_service_knowledge,True,[],False,0,3.08,Kayak approved capacity information is available.
offline-8,1,Jet Ski kitni der ki hai?,hinglish,service_topic,answer_service_knowledge,jet_ski_ride,duration,False,"('duration',)",[],answer_service_knowledge,True,[],False,0,2.95,Jet Ski approved duration information is available.
offline-9,1,Staycation me kya included hai?,hinglish,service_topic,answer_service_knowledge,staycation_combo,inclusions,False,"('inclusions',)",[],answer_service_knowledge,True,[],False,0,2.5,Staycation Combo approved inclusions information is available.
offline-10,1,Swimming zaruri hai?,hinglish,general_question,answer_general_openai,,,False,(),[],answer_general_openai,True,[],False,0,2.69,"Generally, I can help with information about water activities and venues. Please tell me what you would like to know."
